Sr_No,Date,Startup_Name,Industry_Vertical,City,Investors_Name,InvestmentnType,Amount_in_USD
39,18/11/2019,Medikabazaar,Healthcare,Mumbai,Ackermans & van Haaren,Series B,15800000.0
40,18/11/2019,Medikabazaar,Healthcare,Mumbai,HealthQuad,Series B,15800000.0
41,18/11/2019,Medikabazaar,Healthcare,Mumbai,Rebright Partners,Series B,15800000.0
42,18/11/2019,Medikabazaar,Healthcare,Mumbai,Toppan Printing,Series B,15800000.0
43,15/11/2019,Vogo Automotive,Last Mile Transportation,Koramangala,Matrix Partners,Series B,283000000.0
44,15/11/2019,Vogo Automotive,Last Mile Transportation,Koramangala,Stellaris Venture Partners,Series B,283000000.0
45,15/11/2019,Vogo Automotive,Last Mile Transportation,Koramangala,Kalaari Capital,Series B,283000000.0
46,25/11/2019,Paytm,FinTech,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.0
47,04/10/2019,Dunzo,Customer Service,Bangalore,Lightbox,Series D,45000000.0
48,02/10/2019,Udaan,B2B,Bangalore,Altimeter Capital,Series D,585000000.0
49,02/10/2019,Udaan,B2B,Bangalore,DST Global,Series D,585000000.0
50,21/10/2019,The Man Company,Consumer Goods,Gurgaon,Ayushmann Khurana,Corporate Round,0.0
51,05/09/2019,FPL Technologies,FinTech,Pune,Matrix Partners India,Maiden Round,4500000.0
52,05/09/2019,FPL Technologies,FinTech,Pune,Sequoia India,Maiden Round,4500000.0
53,04/09/2019,Cashflo,FinTech,Mumbai,SAIF Partners,Series A,3300000.0
54,04/09/2019,Digital F5,"Advertising, Marketing",Mumbai,TIW Private Equity,Private Equity Round,6000000.0
55,04/09/2019,3rdFlix,SaaS,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.0
56,04/09/2019,75F,IoT,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0
57,04/09/2019,Myelin Foundry,Information Technology,Bangalore,Endiya Partners,Seed,1000000.0
58,04/09/2019,Atomberg Technology,Consumer Technology,Mumbai,A91 Partners,Series A,10000000.0
59,04/09/2019,GOQii,Health and Wellness,Menlo Park,Bennett Coleman  Company Ltd (BCCL),Series C,450000000.0
60,03/09/2019,Vyapar App,Accounting,Bangalore,India Quotient,Series A,5000000.0
61,03/09/2019,Vyapar App,Accounting,Bangalore,Axilor Ventures,Series A,5000000.0
62,01/08/2019,CarDekho,E-Commerce,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.0
63,01/08/2019,Progcap,Finance,New Delhi,Sequoia India,Series A,5000000.0
64,01/08/2019,Alteria Capital,Finance,Mumbai,Azim Premji,Single Venture,140000000.0
65,01/08/2019,Alteria Capital,Finance,Mumbai,Binny Bansal,Single Venture,140000000.0
66,01/08/2019,Pine Labs,Information Technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.0
67,12/08/2019,Meesho,E-Commerce,Bangalore,Naspers,Series D,125000000.0
68,13/08/2019,Cars24,E-Commerce,Gurgaon,MS Dhoni,Series D,11000000.0
69,13/08/2019,Uniphore,Customer Service Platform,Palo Alto,March Capital Partners,Series C,51000000.0
70,23/08/2019,Zendrive,Automotive,San Francisco,XL Innovate,Series B,37000000.0
71,23/08/2019,Lo! Foods,Consumer Goods,Bangalore,Rashmi Daga (founder,Seed Round,500000.0
72,23/08/2019,Lo! Foods,Consumer Goods,Bangalore,FreshMenu),Seed Round,500000.0
73,23/08/2019,Lo! Foods,Consumer Goods,Bangalore,Raveen Sastry (co-founder,Seed Round,500000.0
74,23/08/2019,Lo! Foods,Consumer Goods,Bangalore,Myntra)  Mitesh Shah (finance chief,Seed Round,500000.0
75,23/08/2019,Lo! Foods,Consumer Goods,Bangalore,BookMyShow),Seed Round,500000.0
76,23/08/2019,Tala,FinTech,Santa Monica,RPS Ventures,Series D,110000000.0
77,22/08/2019,INDwealth,FinTech,Gurgaon,Tiger Global Management,Venture Round,15000000.0
78,21/08/2019,HungerBox,Food and Beverage,Bangalore,One97 Communications Ltd.,Series C,6590000.0
79,23/08/2019,AdmitKard,EdTech,Noida,Growth DNA,Seed Round,1000000.0
80,19/08/2019,Mishry Reviews,Services,Gurgaon,Vir Sanghvi,Series A,0.0
81,19/08/2019,Grofers,E-Commerce,Gurgaon,Softbank Vision Fund,Series F,70000000.0
82,27/08/2019,Rapido Bike Taxi,Transportation,Bangalore,Westbridge Capital,Series B,3900000000.0
83,02/07/2019,RenewBuy,Finance,Gurgaon,Lok Capital,Series B,19000000.0
84,02/07/2019,RenewBuy,Finance,Gurgaon,IIFL Wealth,Series B,19000000.0
85,02/07/2019,Atlan,Information Technology,Singapore,WaterBridge Ventures,Pre-Series A,2500000.0
86,01/07/2019,WizCounsel,Compliance,New Delhi,Kapil Dev,Angel,145000.0
87,03/07/2019,Ola Cabs,Transport,Koramangala,DIG Investment Ab,Series J,1000000.0
88,03/07/2019,Ola Cabs,Transport,Koramangala,Deshe Holdings,Series J,1000000.0
89,03/07/2019,Ola Cabs,Transport,Koramangala,Samih Toukan  Hussam Khoury,Series J,1000000.0
90,01/07/2019,Uniphore,Artificial Intelligence,Taramani,March Capital Partners,Series C,38080000.0
91,04/07/2019,Daalchini Technologies,Food and Beverage,New Delhi,Artha Venture,Seed Round,500000.0
92,10/07/2019,"""BYJU\\'S""",EdTech,Bangalore,Qatar Investment Authority,Private Equity Round,150000000.0
93,11/07/2019,Moglix,E-Commerce,Singapore,Composite Capital Management,Series D,60000000.0
94,11/07/2019,Moglix,E-Commerce,Singapore,Sequoia Capital India,Series D,60000000.0
95,11/07/2019,Moglix,E-Commerce,Singapore,Tiger Global Management,Series D,60000000.0
96,10/07/2019,Ezyhaul,Tech,Singapore,Undisclosed,Series B,16000000.0
97,10/07/2019,Indus OS,Tech,Andheri,Ventureast,Series B,5750000.0
98,10/07/2019,HealthAssure,Health Care,Mumbai,Blume Ventures,Series A,2500000.0
99,09/07/2019,House of Msasaba,Luxury Label,Mumbai,Binny Bansal,Series A,1000000.0
100,08/07/2019,Board Infinity,EdTech,Chembur,Multiple Angel Investors,Angel Round,319605.0
101,05/06/2019,NoBroker,E-Commerce,Bangalore,General Atlantic,Series C,51000000.0
102,04/06/2019,Bira91,Food and Beverage,New Delhi,Anicut Capital,Debt Funding,10000000.0
103,03/06/2019,Avail Finance,Finance,Bangalore,Matrix Partners,Series A,9000000.0
104,04/06/2019,BharatPe,Finance,New Delhi,Insight Partners,Series B,75000000.0
105,04/06/2019,Recykal,Waste Management Service,Hyderabad,Triton Investment Advisors,pre-Series A,26000000.0
106,04/06/2019,Recykal,Waste Management Service,Hyderabad,Pidilite Industries director Ajay Parekh,pre-Series A,26000000.0
107,03/06/2019,Agara Labs,Deep-Tech,Bangalore,Blume Ventures  RTP Global,pre-Series A,2500000.0
108,06/06/2019,Chakr Innovation,Energy,New Delhi,IAN Fund,Series A,26000000.0
109,06/06/2019,Pratilipi,Digital Media,Bangalore,Qiming Venture Partners,Series B,15109500.0
110,10/06/2019,Bolo App,Digital Media,Bangalore,Nexus Venture Partners,Seed Funding,430200.0
111,10/06/2019,OkCredit,FinTech,Haryana,Tiger Global Management,Series A,15500000.0
112,06/06/2019,Biz2Credit,FinTech,New York,WestBridge Capital,Series B,52000000.0
113,08/06/2019,Vogo Automotive Pvt. Ltd.,Transportation,Karnataka,Alteria Capital,Debt Funding,3584000.0
114,04/06/2019,Leegality,Services,Mumbai,Mumbai Angels,Series A,3400000.0
115,06/05/2019,Ola Electric,Transport,Bangalore,Tata Sons,Series A,0.0
116,06/05/2019,Saahas Zero Waste,Waste Management Service,Bangalore,C4D Partners,Venture - Series Unknown,868600.0
117,05/05/2019,StyleDotMe,E-commerce,Delhi,Indian Angel Network  other angel investors,Bridge Round,0.0
118,05/05/2019,StyleDotMe,E-commerce,Delhi,Innov8 founder Ritesh Malik,Bridge Round,0.0
119,05/05/2019,StyleDotMe,E-commerce,Delhi,Josh Talks founders Supriya Paul  Shobha Banga,Bridge Round,0.0
120,05/05/2019,StyleDotMe,E-commerce,Delhi,former Hero Corporate president Rohit Chanana,Bridge Round,0.0
121,01/05/2019,BlackBuck,Transport,Bangalore,Goldman Sachs Investment Partners  Silicon Valley-based Accel,Series D,150000000.0
122,01/05/2019,BlackBuck,Transport,Bangalore,Wellington,Series D,150000000.0
123,01/05/2019,BlackBuck,Transport,Bangalore,Sequoia Capital,Series D,150000000.0
124,01/05/2019,BlackBuck,Transport,Bangalore,B Capital,Series D,150000000.0
125,01/05/2019,BlackBuck,Transport,Bangalore,LightStreet,Series D,150000000.0
126,01/05/2019,BlackBuck,Transport,Bangalore,Sands Capital  International Finance Corporation,Series D,150000000.0
128,02/05/2019,Zenoti,Saas,Hyderabad,Tiger Global Management,Series C,50000000.0
129,28/05/2019,Ather Energy,Automobile,Bangalore,Sachin Bansal,Series C,51000000.0
130,28/05/2019,FreshVnF,Agtech,Mumbai,Equanimity Ventures,Seed Round,140000000.0
131,30/05/2019,GlowRoad,E-commerce,Bangalore,Korea Investment Partners,Series B,11500000.0
132,30/05/2019,GlowRoad,E-commerce,Bangalore,Vertex Ventures,Series B,11500000.0
133,31/05/2019,Bira91,Food and Beverage,New Delhi,Sixth Sense Ventures,Series B,5600000.0
134,16/04/2019,Kuvera,Finance,Bangalore,Eight Roads,Series A,45000000.0
135,12/04/2019,Medlife,E-commerce,Bangalore,Prasid Uno Family Trust,Private Equity,17000000.0
136,10/04/2019,Kabadiwala,E-commerce,Bhopal,Unilever,Private Equity,430665.0
137,10/04/2019,Kabadiwala,E-commerce,Bhopal,Beehive Capital Advisor,Private Equity,430665.0
138,10/04/2019,Kabadiwala,E-commerce,Bhopal,ABCOM Investments,Private Equity,430665.0
139,10/04/2019,Kabadiwala,E-commerce,Bhopal,Parekh Marine Transport,Private Equity,430665.0
141,13/04/2019,Tripoto,Social Media,New Delhi,Orchid India,Series B,3591375.0
142,13/04/2019,Tripoto,Social Media,New Delhi,Hornbill Orchid India Fund,Series B,3591375.0
143,13/04/2019,Tripoto,Social Media,New Delhi,Chiratae Ventures (formerly IDG Ventures),Series B,3591375.0
144,13/04/2019,Tripoto,Social Media,New Delhi,3one4 Capital,Series B,3591375.0
145,13/04/2019,Tripoto,Social Media,New Delhi,Lasmer NV,Series B,3591375.0
146,12/04/2019,Azah,Health and Wellness,Gurgaon,Unnamed angel investors,Seed Funding,200000.0
147,11/04/2019,Setu,Fintech,Bangalore,Lightspeed India Partners,Seed Funding,3500000.0
148,10/04/2019,Toppr,Edtech,Mumbai,Milestone,Debt and Preference capital,6320820.0
149,10/04/2019,Craftsvilla,E-commerce,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.0
150,10/04/2019,Unacademy,Edtech,Bangalore,Kalyan Krishnamurthy,Seed/ Angel Funding,307000.0
151,11/04/2019,CleverTap,SaaS,Mumbai,Sequoia India,Series B,26000000.0
152,11/04/2019,CleverTap,SaaS,Mumbai,Tiger Global Management,Series B,26000000.0
153,11/04/2019,CleverTap,SaaS,Mumbai,Accel Partners,Series B,26000000.0
154,19/04/2019,My Healthcare,E-commerce,Bengaluru And Gurugram,Sixth Sense Ventures,Series A,3000000.0
155,19/04/2019,KrazyBee,E-commerce,Bangalore,BAC Acquisitions,Debt,0.0
156,19/04/2019,KrazyBee,E-commerce,Bangalore,Unifi AIF,Debt,0.0
157,19/04/2019,KrazyBee,E-commerce,Bangalore,BRD Securities,Debt,0.0
158,19/04/2019,KrazyBee,E-commerce,Bangalore,Northern R Capital,Debt,0.0
159,17/04/2019,Shuttl,Transportation,Gurgaon,New Atlantic Ventures,Venture Round,5000000.0
160,17/04/2019,Increff,Technology,Bangalore,021 Capita,Series A,3000000.0
161,17/04/2019,Increff,Technology,Bangalore,Binny Bansal,Series A,3000000.0
162,01/02/2019,FleetX,AI,Gurgaon,India Quotient  LetsVentures Angel Fund,Pre Series A,0.0
163,08/02/2019,Zilingo,Ecommerce,India,Sequoia Capital  Temasek Holdings,Series D,226000000.0
164,08/02/2019,Zilingo,Ecommerce,India,EDBI,Series D,226000000.0
165,08/02/2019,Zilingo,Ecommerce,India,Burda Principal Investments,Series D,226000000.0
166,08/02/2019,Zilingo,Ecommerce,India,Sofina,Series D,226000000.0
167,13/02/2019,NanoClean Global,Nanotechnology,New Delhi,LetsVenture,Series A,600000.0
168,13/02/2019,NanoClean Global,Nanotechnology,New Delhi,PitchRight Venture,Series A,600000.0
169,13/02/2019,NanoClean Global,Nanotechnology,New Delhi,91SpringBoard,Series A,600000.0
170,13/02/2019,NanoClean Global,Nanotechnology,New Delhi,AL Nour International Holdings  Mark V Investments,Series A,600000.0
171,14/02/2018,OyoRooms,Hospitality,Gurgaon,DiDi Chuxing,Equity,100000000.0
172,03/01/2019,CarDekho,Automobile,Jaipur,Sequoia India,Series C,110000000.0
173,03/01/2019,CarDekho,Automobile,Jaipur,Hillhouse Capital,Series C,110000000.0
174,03/01/2019,CarDekho,Automobile,Jaipur,Alphabets growth investment arm Capital G  Axis Bank,Series C,110000000.0
175,04/01/2019,Vyome Therapeutics Inc.,Health and Wellness,India,Iron Pillar,Series D,22000000.0
176,04/01/2019,Vyome Therapeutics Inc.,Health and Wellness,India,Perceptive Advisors,Series D,22000000.0
177,04/01/2019,Vyome Therapeutics Inc.,Health and Wellness,India,Romulus Capital  Kalaari Capital,Series D,22000000.0
178,04/01/2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,MASSIF,Debt-Funding,5000000.0
179,04/01/2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,a Dutch government fund,Debt-Funding,5000000.0
180,04/12/2018,Manch,Social Media,Delhi,Stellaris Venture Partners,Seed Funding,700000.0
181,01/12/2018,UrbanClap Technologies Pvt. Ltd,Services Platform,New Delhi,Steadview Capital  Vy Capital.,Series D,50000000.0
182,02/12/2018,Guiddoo,Travel Tech,Mumbai,Individual Investors,Pre-Series A,800000.0
183,02/12/2018,Career Anna,Online Education,Gurgaon,Individual Investors,Pre-Series A,572000.0
184,04/12/2018,Nagpur Wholesale,Online Marketplace,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000.0
185,06/12/2018,ShopKirana,B2B,Indore,Info Edge,Seed Funding,2000000.0
186,06/12/2018,ShopKirana,B2B,Indore,AET Fund,Seed Funding,2000000.0
187,06/12/2018,ShopKirana,B2B,Indore,Akatsuki  Incubate Fund from Japan  Better Capital AngelList syndicate.,Seed Funding,2000000.0
188,06/12/2018,BuildSupply,"SaaS, Ecommerce",Gurgaon,Venture Highway,Series A,3500000.0
189,06/12/2018,BuildSupply,"SaaS, Ecommerce",Gurgaon,GREE Ventures,Series A,3500000.0
190,06/12/2018,BuildSupply,"SaaS, Ecommerce",Gurgaon,Space Matrix,Series A,3500000.0
191,06/12/2018,BuildSupply,"SaaS, Ecommerce",Gurgaon,Individual Investors,Series A,3500000.0
192,01/11/2018,GoDesi,Food and Beverage,Bangalore,Lead Angels Network,Seed/ Angel Funding,138995.0
193,03/11/2018,Veritas Finance Ltd.,NBFC,Chennai,Norwest Venture Partners,Series D,27799000.0
194,03/11/2018,Veritas Finance Ltd.,NBFC,Chennai,CDC Group,Series D,27799000.0
195,03/11/2018,Veritas Finance Ltd.,NBFC,Chennai,the UKs Development Finance Institution  P Surendra Pai,Series D,27799000.0
196,06/11/2018,Meesho,Ecommerce,Bangalore,Shunwei Capital,Series C,50000000.0
197,06/11/2018,Meesho,Ecommerce,Bangalore,DST Partners  RPS Ventures,Series C,50000000.0
198,08/11/2018,Mobile Premier League,Gaming,Bangalore,Undisclosed,Series A,500000.0
199,08/11/2018,A&R Bon Vivants,Food,Jaipur,RB Investments,Equity,1000000.0
200,08/11/2018,A&R Bon Vivants,Food,Jaipur,Singapore,Equity,1000000.0
201,12/11/2018,Blackbuck,Food Tech,New York,Tiger Global,Series A,1000000.0
202,12/11/2018,MilkBAsket,Food,New Delhi,Mayfield Fund,Series B,1300000.0
203,13/11/2018,DriveU,Transport,Bangalore,Stevens Creek Ventures,Mezzanine,1000000.0
204,14/11/2018,CleanseCar,Services,Bangalore,Venture Catalysts,Seed/ Angel Funding,500000.0
205,19/11/2018,Automation Anywhere,Automation,California,SoftBank Vision Fund,Series B,300000000.0
206,20/11/2018,HealthifyMe,Health and Wellness,Bangalore,Sistema Asia Fund,Series B (Extension),6000000.0
207,20/11/2018,HealthifyMe,Health and Wellness,Bangalore,VC Samsung NEXT,Series B (Extension),6000000.0
208,20/11/2018,HealthifyMe,Health and Wellness,Bangalore,Chiratae Ventures,Series B (Extension),6000000.0
209,20/11/2018,HealthifyMe,Health and Wellness,Bangalore,Inventus Capital,Series B (Extension),6000000.0
210,20/11/2018,HealthifyMe,Health and Wellness,Bangalore,Blume Ventures  Innoven Capital.,Series B (Extension),6000000.0
211,21/11/2018,Genius Corner,Education,Noida,Individual investors,Seed Funding,278000.0
212,22/11/2018,Aavishkaar-Intellecap Group,Investment,Mumbai,Teachers Insurance  Annuity Association (TIAA),Equity Based Funding,31000000.0
213,22/11/2018,Skillbox,Social Network,Gurgaon,Individual investors,Seed Funding,0.0
214,23/11/2018,Signzy,Financial Tech,Mumbai,Stellaris Venture Partners  Kalaari Capital,Series A,3400000.0
215,23/11/2018,Signzy,Financial Tech,Mumbai,Rajan Anandan from Google,Series A,3400000.0
216,23/11/2018,Signzy,Financial Tech,Mumbai,Dilip Khandwelwal from SAP Labs India,Series A,3400000.0
217,23/11/2018,Signzy,Financial Tech,Mumbai,Amrish Rau from PayU India,Series A,3400000.0
218,24/11/2018,Engineer.ai,Software,India,Lakestar  Jungle Ventures,Series A,29500000.0
219,24/11/2018,Engineer.ai,Software,India,Softbanks DeepCore.,Series A,29500000.0
220,25/11/2018,InCred Finance,Finance,India,Paragon Partners,Private Equity,42000000.0
221,25/11/2018,InCred Finance,Finance,India,Individual Investors,Private Equity,42000000.0
222,25/11/2018,Roposo,Social Media,Delhi,Bertelsmann India Investments,Series B,1700000.0
223,01/10/2018,Northmist,Fashion,Delhi,Prashant Jaiswal,Seed/ Angel Funding,0.0
224,02/10/2018,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,Cooperative Oikocredit,Seed/ Angel Funding,11000000.0
225,02/10/2018,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,Caspian  Hivos-Triodos Fund,Seed/ Angel Funding,11000000.0
226,04/10/2018,Grover Zampa,Food,Mumbai,Ravi Viswanathan,Private Equity,8200000.0
227,05/10/2018,Droom,Automobile,Gurgaon,ZigExN,Series E,3000000.0
228,11/10/2018,Innov8,Real Estate,New Delhi,Credence Family Office,Pre-Series A,4000000.0
229,12/10/2018,Blackbuck,Logistics Tech,Bangalore,Sequoia Capital India,Private Funding,14680000.0
230,12/10/2018,LetsTransport,Logistics Tech,Bangalore,Fosun International,Series C,12000000.0
231,01/09/2018,Netmeds,Consumer Internet,Chennai,Sistema Asia Fund,Private Equity,35000000.0
232,01/09/2018,Netmeds,Consumer Internet,Chennai,Sistema JSFC  Tanncam Investment,Private Equity,35000000.0
233,03/09/2018,Udaan,B2B Platform,Bangalore,DST Global  Lightspeed Venture Partners global fund.,Private Equity,225000000.0
234,03/09/2018,Daily hunt,Consumer Internet,Bangalore,Falcon Edge,Private Equity,6390000.0
235,04/09/2018,HappyGoEasy,Consumer Internet,Gurgaon,Korea Investment Partners (KIP),Private Equity,0.0
236,04/09/2018,HappyGoEasy,Consumer Internet,Gurgaon,Samsung  China-based CITIC Capital  others,Private Equity,0.0
237,05/09/2018,Nykaa,Consumer Internet,Mumbai,Lighthouse,Private Equity,157200000.0
238,05/09/2018,Mad Street Den,Technology,Chennai,KDDI,Private Equity,0.0
239,06/09/2018,Dream11,Consumer Internet,Mumbai,Tencent,Private Equity,100000000.0
240,06/09/2018,Dream11,Consumer Internet,Mumbai,Kalaari Capital  Private equity firm Multiples Alternate Asset Management,Private Equity,100000000.0
241,10/09/2018,MamaEarth,Healthcare,Gurgaon,Stellaris Ventures & Others,Private Equity,4000000.0
242,11/09/2018,AutoGrid,Technology,Bangalore,CLP Holdings Group,Private Equity,32000000.0
243,11/09/2018,AutoGrid,Technology,Bangalore,Innogy,Private Equity,32000000.0
244,11/09/2018,AutoGrid,Technology,Bangalore,\\xc3\\x98rstead,Private Equity,32000000.0
245,11/09/2018,AutoGrid,Technology,Bangalore,Tenaska,Private Equity,32000000.0
246,11/09/2018,Pharmeasy,Consumer Internet,Mumbai,InnoVen Capital,Debt Funding,5500000.0
247,11/09/2018,Upwards,Fin-Tech,Mumbai,Shunwei Capital,Private Equity,5000000.0
248,11/09/2018,Upwards,Fin-Tech,Mumbai,Quotient,Private Equity,5000000.0
249,11/09/2018,Upwards,Fin-Tech,Mumbai,Mayfield & Others,Private Equity,5000000.0
250,12/09/2018,Kissht,Fin-Tech,Mumbai,Vertex Ventures Southeast Asia (SEA)  India  Sistema Asia Fund,Private Equity,30000000.0
251,12/09/2018,Kissht,Fin-Tech,Mumbai,Fosun RZ Capital,Private Equity,30000000.0
252,12/09/2018,Kissht,Fin-Tech,Mumbai,Ventureast,Private Equity,30000000.0
253,12/09/2018,Kissht,Fin-Tech,Mumbai,Endiya Partners.\\n\\n,Private Equity,30000000.0
254,01/08/2018,dishq,Food-Tech,Bangalore,Farm To Fork,Seed/ Angel Funding,400000.0
255,01/08/2018,dishq,Food-Tech,Bangalore,Arts Alliance,Seed/ Angel Funding,400000.0
256,01/08/2018,dishq,Food-Tech,Bangalore,The Syndicate Fund,Seed/ Angel Funding,400000.0
257,01/08/2018,dishq,Food-Tech,Bangalore,Sven Hensen,Seed/ Angel Funding,400000.0
258,01/08/2018,dishq,Food-Tech,Bangalore,Zeroth  Artesian Venture Partners,Seed/ Angel Funding,400000.0
259,01/08/2018,HealthFin,Finance,Pune,Axilor,Seed/ Angel Funding,0.0
260,01/08/2018,HealthFin,Finance,Pune,Sprout Venture Partners  others,Seed/ Angel Funding,0.0
261,02/08/2018,Samosa Labs,Consumer Internet,Hyderabad,Xiaomi  Sequoia Capital India,Private Equity,7000000.0
262,03/08/2018,ZiffyHomes,Consumer Internet,Gurgaon,Y Combinator,Private Equity,120000.0
263,07/08/2018,ShopX,Consumer Internet,Bangalore,Fung Strategic Holdings,Private Equity,35000000.0
264,07/08/2018,MakeMyTrip,Consumer Internet,Gurgaon,MakeMyTrip Limited,Private Equity,10000000.0
265,08/08/2018,Hansel io,Consumer Internet,Bangalore,Vertex Ventures,Seed/ Angel Funding,4000000.0
266,08/08/2018,Metro Bikes,Consumer Internet,Bangalore,Sequoia Capital India Advisors,Private Equity,12200000.0
267,08/08/2018,Metro Bikes,Consumer Internet,Bangalore,Accel Partners  G Raghunandan,Private Equity,12200000.0
268,08/08/2018,Phone Pe,Consumer Internet,Bangalore,Flipkart,Private Equity,66000000.0
269,09/08/2018,quizizz,Ed-Tech,Bangalore,Nexus Venture Partners,Seed/ Angel Funding,3000000.0
270,09/08/2018,quizizz,Ed-Tech,Bangalore,Prime Venture Partners  Others,Seed/ Angel Funding,3000000.0
271,09/08/2018,Happy EMI,Fin-Tech,Bangalore,AJ Ventures  Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000000.0
272,13/08/2018,Inthree,Consumer Internet,Chennai,Ventureast,Seed/ Angel Funding,4000000.0
273,13/08/2018,Inthree,Consumer Internet,Chennai,Orios Venture Partners  the IAN Fund,Seed/ Angel Funding,4000000.0
274,13/08/2018,Observe AI,Technology,Bangalore,Nexus Venture Partners,Private Equity,8000000.0
275,13/08/2018,Observe AI,Technology,Bangalore,MGV,Private Equity,8000000.0
276,13/08/2018,Observe AI,Technology,Bangalore,Liquid 2 Ventures,Private Equity,8000000.0
277,13/08/2018,Observe AI,Technology,Bangalore,Hack VC,Private Equity,8000000.0
278,13/08/2018,Observe AI,Technology,Bangalore,Emergent Ventures  Y Combinator,Private Equity,8000000.0
279,17/08/2018,EazyDiner,Consumer Internet,Gurgaon,Denlow Investment Trust  Beenext,Private Equity,5850000.0
